DATAFLOW,LAST UPDATE,freq,wst_oper,waste,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,AT,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,BE,2020,3,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,BG,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,CY,2020,49,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,CZ,2020,3,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,DE,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,DK,2020,11,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,EE,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,EL,2020,35,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,ES,2020,18,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,EU27_2020,2020,12,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,FI,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,FR,2020,18,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,HR,2020,10,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,HU,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,IE,2020,11,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,IT,2020,12,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,LT,2020,29,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,LU,2020,12,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,LV,2020,17,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,MT,2020,1,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,NL,2020,27,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,NO,2020,30,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,PL,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,PT,2020,10,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,SE,2020,2,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,SI,2020,0,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,A01_A03_FOOD,KG_HAB,SK,2020,13,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,AT,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,BE,2020,161,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,BG,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,CY,2020,190,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,CZ,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,DE,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,DK,2020,102,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,EE,2020,24,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,EL,2020,35,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,ES,2020,30,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,EU27_2020,2020,27,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,FI,2020,29,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,FR,2020,26,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,HR,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,HU,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,IE,2020,44,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,IT,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,LT,2020,10,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,LU,2020,17,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,LV,2020,19,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,MT,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,NL,2020,59,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,NO,2020,5,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,PL,2020,21,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,PT,2020,6,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,SE,2020,5,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,SI,2020,5,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,C10_C11,KG_HAB,SK,2020,23,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,AT,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,BE,2020,6,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,BG,2020,7,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,CY,2020,56,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,CZ,2020,6,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,DE,2020,9,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,DK,2020,17,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,EE,2020,15,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,EL,2020,14,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,ES,2020,7,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,EU27_2020,2020,9,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,FI,2020,10,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,FR,2020,10,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,HR,2020,1,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,HU,2020,4,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,IE,2020,14,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,IT,2020,6,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,LT,2020,10,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,LU,2020,14,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,LV,2020,8,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,MT,2020,8,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,NL,2020,12,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,NO,2020,11,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,PL,2020,8,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,PT,2020,21,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,SE,2020,11,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,SI,2020,7,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,G46_G47_FOOD,KG_HAB,SK,2020,3,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,AT,2020,83,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,BE,2020,71,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,BG,2020,55,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,CY,2020,71,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,CZ,2020,69,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,DE,2020,78,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,DK,2020,79,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,EE,2020,61,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,EL,2020,87,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,ES,2020,30,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,EU27_2020,2020,70,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,FI,2020,53,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,FR,2020,60,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,HR,2020,53,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,HU,2020,66,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,IE,2020,48,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,IT,2020,107,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,LT,2020,86,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,LU,2020,91,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,LV,2020,82,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,MT,2020,92,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,NL,2020,59,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,NO,2020,78,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,PL,2020,60,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,PT,2020,124,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,SE,2020,61,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,SI,2020,36,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,HH,KG_HAB,SK,2020,65,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,AT,2020,23,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,BE,2020,8,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,BG,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,CY,2020,30,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,CZ,2020,4,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,DE,2020,22,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,DK,2020,11,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,EE,2020,8,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,EL,2020,21,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,ES,2020,4,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,EU27_2020,2020,12,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,FI,2020,14,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,FR,2020,16,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,HR,2020,4,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,HU,2020,2,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,IE,2020,36,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,IT,2020,3,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,LT,2020,2,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,LU,2020,14,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,LV,2020,19,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,MT,2020,45,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,NL,2020,5,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,NO,2020,18,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,PL,2020,5,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,PT,2020,16,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,SE,2020,9,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,SI,2020,20,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,I55_I56_N-S_FOOD,KG_HAB,SK,2020,1,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,AT,2020,136,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BE,2020,250,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BG,2020,108,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CY,2020,397,d
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CZ,2020,91,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DE,2020,131,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DK,2020,221,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EE,2020,125,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EL,2020,191,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,ES,2020,90,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EU27_2020,2020,130,s
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,FI,2020,116,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,FR,2020,129,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,HR,2020,71,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,HU,2020,93,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IE,2020,154,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,IT,2020,136,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LT,2020,137,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LU,2020,147,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,LV,2020,145,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,MT,2020,154,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NL,2020,161,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,NO,2020,143,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PL,2020,112,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,PT,2020,176,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SE,2020,89,e
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SI,2020,68,
ESTAT:ENV_WASFW(1.0),28/09/23 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,SK,2020,106,
